Nationaliteiten,Geslacht,Leeftijd,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
Nederlands,Mannen,45 tot 50 jaar,1,0,1,0,8.548820699209582,41.244807127035884,19.83956199579024,4.860558926662345,7,2,0
Nederlands,Vrouwen,40 tot 45 jaar,0,0,0,1,7.792697166748529,25.590146698435007,22.499154862246826,9.783608088372832,3,1,0
Nederlands,Mannen,25 tot 30 jaar,0,0,0,1,12.150697011102363,57.87297139920562,-1.6555049340155605,1.9546195366232837,5,0,0
Nederlands,Mannen,45 tot 50 jaar,1,0,0,0,13.293446424140752,74.31309680158687,25.462436053600776,7.815425480155783,4,1,0
Nederlands,Mannen,45 tot 50 jaar,0,1,0,1,12.012523393674307,49.499110263703656,3.9941509952760814,6.071631896833031,3,1,0
Nederlands,Mannen,50 tot 55 jaar,0,1,0,1,8.933076915955223,82.0768252837707,27.51213238100471,2.547964746648119,11,2,1
Nederlands,Mannen,15 tot 20 jaar,1,1,0,1,13.974933365807196,50.598353393236344,31.876236261791483,9.15449497465511,5,1,0
Nederlands,Mannen,60 tot 65 jaar,0,0,0,0,8.971263489250006,51.05651554785972,19.395038372460125,4.481569534788964,3,2,0
Nederlands,Mannen,70 tot 75 jaar,1,0,1,0,11.21758038223893,60.94189791894916,13.173768293692897,4.205040730980683,2,2,0
Nederlands,Vrouwen,30 tot 35 jaar,0,1,0,0,7.541874815658789,57.53085485967552,12.50351448570137,3.7963070023110856,0,1,0
Nederlands,Vrouwen,45 tot 50 jaar,0,0,0,0,10.454853742593144,47.97639147594596,12.81638569010693,7.1169192986762075,2,2,0
Nederlands,Vrouwen,25 tot 30 jaar,0,0,0,0,11.61626572735048,61.919482817134345,7.917290548920513,5.6078454613789726,1,1,0
Nederlands,Mannen,25 tot 30 jaar,1,0,1,1,8.341679523416047,57.21043645634807,29.570059084636256,5.243236940398135,6,1,0
Nederlands,Vrouwen,20 tot 25 jaar,0,0,1,0,8.522481384014439,94.26537116362927,20.466363890346038,8.477516760187582,3,1,1
Nederlands,Mannen,25 tot 30 jaar,1,1,1,1,14.999627075959943,49.975984539378935,28.677183597138345,5.387560207051577,6,0,0
Nederlands,Vrouwen,40 tot 45 jaar,1,0,0,0,10.633699387958762,67.77754784464112,28.25429703158164,4.227556136486381,3,1,1
Nederlands,Vrouwen,70 tot 75 jaar,0,0,0,0,7.653297594747651,66.39929990470878,17.48595102711105,2.3241987812488456,3,2,1
Nederlands,Mannen,15 tot 20 jaar,1,1,0,0,6.240885904262086,58.066931853343426,8.07473694990709,7.194262759153256,6,1,0
Nederlands,Mannen,65 tot 70 jaar,1,0,0,1,9.944080572168005,63.20286336943545,15.57727864480851,3.709107127984184,1,3,0
Nederlands,Vrouwen,45 tot 50 jaar,0,1,1,0,3.6068897094317465,41.754434084951534,4.996233537563146,6.448713925235165,3,3,0
Nederlands,Vrouwen,45 tot 50 jaar,0,1,0,0,4.155527035577928,64.64608384437906,16.218436843094953,2.905750041302959,1,1,0
